Year,SOI
1987.2083333335,-16.6
1987.2916666669,-24.4
1987.3750000002,-21.6
1987.4583333335,-20.1
1987.5416666669,-18.6
1987.6250000002,-14
1987.7083333335,-11.2
1987.7916666669,-5.6
1987.8750000002,-1.4
1987.9583333335,-4.5
1988.0416666669,-1.1
1988.1250000002,-5
1988.2083333335,2.4
1988.2916666669,-1.3
1988.3750000002,10
1988.4583333335,-3.9
1988.5416666669,11.3
1988.6250000002,14.9
1988.7083333335,20.1
1988.7916666669,14.6
1988.8750000002,21
1988.9583333335,10.8
1989.0416666669,13.2
1989.1250000002,9.1
1989.2083333335,6.7
1989.2916666669,21
1989.3750000002,14.7
1989.4583333335,7.4
1989.5416666669,9.4
1989.6250000002,-6.3
1989.7083333335,5.7
1989.7916666669,7.3
1989.8750000002,-2
1989.9583333335,-5
1990.0416666669,-1.1
1990.1250000002,-17.3
1990.2083333335,-8.5
1990.2916666669,-0.5
1990.3750000002,13.1
1990.4583333336,1
1990.5416666669,5.5
1990.6250000002,-5
1990.7083333336,-7.6
1990.7916666669,1.8
1990.8750000002,-5.3
1990.9583333336,-2.4
1991.0416666669,5.1
1991.1250000002,0.6
1991.2083333336,-10.6
1991.2916666669,-12.9
1991.3750000002,-19.3
1991.4583333336,-5.5
1991.5416666669,-1.7
1991.6250000002,-7.6
1991.7083333336,-16.6
1991.7916666669,-12.9
1991.8750000002,-7.3
1991.9583333336,-16.7
1992.0416666669,-25.4
1992.1250000002,-9.3
1992.2083333336,-24.2
1992.2916666669,-18.7
1992.3750000002,0.5
1992.4583333336,-12.8
1992.5416666669,-6.9
1992.6250000002,1.4
1992.7083333336,0.8
1992.7916666669,-17.2
1992.8750000002,-7.3
1992.9583333336,-5.5
1993.0416666669,-8.2
1993.1250000002,-7.9
1993.2083333336,-8.5
1993.2916666669,-21.1
1993.3750000002,-8.2
1993.4583333336,-16
1993.5416666669,-10.8
1993.6250000002,-14
1993.7083333336,-7.6
1993.7916666669,-13.5
1993.8750000002,0.6
1993.9583333336,1.6
1994.0416666669,-1.6
1994.1250000002,0.6
1994.2083333336,-10.6
1994.2916666669,-22.8
1994.3750000002,-13
