Year,TPI
2011.2083333335393,-0.43200000000000005
2011.2916666668727,-0.42700000000000005
2011.3750000002062,-0.42200000000000004
2011.4583333335397,-0.41700000000000004
2011.5416666668732,-0.41100000000000003
2011.6250000002067,-0.405
2011.7083333335402,-0.39799999999999996
2011.7916666668737,-0.391
2011.8750000002071,-0.384
2011.9583333335406,-0.376
2012.041666666874,-0.368
2012.1250000002076,-0.36
2012.208333333541,-0.35100000000000003
2012.2916666668746,-0.34299999999999997
2012.375000000208,-0.33299999999999996
2012.4583333335415,-0.324
2012.541666666875,-0.314
2012.6250000002085,-0.305
2012.708333333542,-0.295
2012.7916666668755,-0.285
2012.875000000209,-0.27399999999999997
2012.9583333335424,-0.264
